phishing,url,url_len,host_len,path_len,query_len,is_https,count_dots,count_hyphen,count_at,count_qm,count_eq,count_slash,count_double_slash,count_digits,has_ip,has_shortener,has_keyword,subdomain_len,domain,suffix,domain_entropy,domain_age,days_to_expire,registration_length
1,http://ca24148.tw1.ru/web/depart.php,36,14,15,0,0,2,0,0,0,0,4,0,6,0,0,0,0,ca24148.tw1.ru,ru,3.3787834934861753,7043,261,7305
1,https://transportedigno.cl/inoo/,32,18,6,0,1,1,0,0,0,0,4,0,0,0,0,0,0,transportedigno.cl,cl,3.7254805569978675,508,221,730
1,https://2bcapital.online,24,16,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,2bcapital.online,online,3.5,36,328,365
1,https://att-service-104735.square.site/,39,30,1,0,1,2,2,0,0,0,3,0,6,0,0,0,0,att-service-104735.square.site,site,3.9898980954642878,2439,-1,-1
1,https://kyukjhjhterryuy.com/?tid=r16ZF3,39,19,1,10,1,1,0,0,1,1,3,0,3,0,0,0,0,kyukjhjhterryuy.com,com,3.471354487013929,15,349,365
1,https://prioritaire-coursier.com/as.php,39,24,7,0,1,1,1,0,0,0,3,0,0,0,0,0,0,prioritaire-coursier.com,com,3.403107168362811,32,332,365
1,https://heyform.net/f/TutcMs0a,30,11,11,0,1,1,0,0,0,0,4,0,1,0,0,0,0,heyform.net,net,3.2776134368191157,1907,2475,4383
1,https://l.ead.me/bfJw1n,23,8,7,0,1,2,0,0,0,0,3,0,1,0,0,0,0,l.ead.me,me,2.5,3644,373,4018
1,http://allegro.pl-oferta7818921.shop,36,29,0,0,0,2,1,0,0,0,2,0,7,0,0,0,0,allegro.pl-oferta7818921.shop,shop,4.0472990984266435,24,340,365
1,https://l.ead.me/bfKOTg,23,8,7,0,1,2,0,0,0,0,3,0,0,0,0,0,0,l.ead.me,me,2.5,3644,373,4018
1,https://new.express.adobe.com/webpage/sUxkfptF2v60o,51,21,22,0,1,3,0,0,0,0,4,0,3,0,0,0,0,new.express.adobe.com,com,3.594465636961452,14208,217,14425
1,https://myidtelshnbc.weebly.com/,32,23,1,0,1,2,0,0,0,0,3,0,0,0,0,0,0,myidtelshnbc.weebly.com,com,3.795088586397732,7136,168,7304
1,https://VolvoCarsKC.us1.list-manage.com/track/click?u=08dc9a4a9422b51e272a8aed8&amp;id=3faaf4573c&amp;e=50fd152abb,114,31,12,62,1,3,1,0,1,3,4,0,26,0,0,1,0,volvocarskc.us1.list-manage.com,com,3.9937305842314768,7115,2381,9497
1,https://eslorg.weebly.com/,26,17,1,0,1,2,0,0,0,0,3,0,0,0,0,0,0,eslorg.weebly.com,com,3.4548223999466057,7136,168,7304
1,https://docs.google.com/presentation/d/e/2PACX-1vSr0QmrWShiadaNFdzx-jW0LlDGaYXD-s0SOLRvu3SliMGJpQIIC3iAl4l08RuimesW2HH-mlhU41Xy/pub?start=false&amp;loop=false&amp;delayms=3000,175,15,108,43,1,2,4,0,1,3,7,0,17,0,0,0,0,docs.google.com,com,2.9735572622751856,10253,1068,11322
1,https://docs.google.com/presentation/d/e/2PACX-1vR5y1H0Te7gJFrZC1MxXUeW9AyhqgO8EMQwS75V-pu1qSBVnz08cWIjk0ZsltagHj0ZKQ4tjRFRtkWa/pub?start=false&amp;loop=false&amp;delayms=3000,175,15,108,43,1,2,2,0,1,3,7,0,21,0,0,0,0,docs.google.com,com,2.9735572622751856,10253,1068,11322
1,https://onx.la/4b93e,20,6,6,0,1,1,0,0,0,0,3,0,3,0,0,0,0,onx.la,la,2.584962500721156,2023,167,2191
1,https://jcokzph.com/rpk156/#/,29,11,8,0,1,1,0,0,0,0,5,0,3,0,0,0,0,jcokzph.com,com,3.095795255000934,129,235,365
1,https://docs.google.com/presentation/d/e/2PACX-1vQfePNY-TIPpvBHyH2CJK829pUcIUGoaxNuQYQf9fC0f2UlyX6Fff6JY4u7HaXDF0Lg6s5kXTW7wAPf/pub?start=false&amp;loop=false&amp;delayms=3000,175,15,108,43,1,2,2,0,1,3,7,0,21,0,0,0,0,docs.google.com,com,2.9735572622751856,10253,1068,11322
1,https://bestnailsdirectory.com/OdlPrT/?&&example@example.example,64,22,8,25,1,1,0,1,1,0,4,0,0,0,0,0,0,bestnailsdirectory.com,com,3.823067982273661,172,192,365
1,https://docs.google.com/presentation/d/e/2PACX-1vTPttsakHHV50A8ehPgp3zH0ZPXs9l3rXVpOfw-TVwlGwge9jMpWMmZJVUN8fMTE2X98YNX17_4m5dH/pub?start=false&amp;loop=false&amp;delayms=3000,175,15,108,43,1,2,2,0,1,3,7,0,22,0,0,0,0,docs.google.com,com,2.9735572622751856,10253,1068,11322
1,http://mwxoq1840.ukit.me,24,17,0,0,0,2,0,0,0,0,2,0,4,0,0,0,0,mwxoq1840.ukit.me,me,3.85216872360328,3224,62,3287
1,https://bit.ly/47sGnrD,22,6,8,0,1,1,0,0,0,0,3,0,2,0,1,0,0,bit.ly,ly,2.584962500721156,6355,2410,8766
1,https://www.flowcode.com/page/iuytrtyuiop,41,16,17,0,1,2,0,0,0,0,4,0,0,0,0,0,0,www.flowcode.com,com,2.952819531114783,5595,248,5844
1,https://docs.google.com/presentation/d/e/2PACX-1vS9Bh8I3Mn2amZmfG1LDxPn9213jnFQP6LU7HtmkmcgTOB9rvCB5ZHqE7RheNT6rtCh1wEHIGVery4W/pub?start=false&amp;loop=false&amp;delayms=3000,175,15,108,43,1,2,1,0,1,3,7,0,23,0,0,0,0,docs.google.com,com,2.9735572622751856,10253,1068,11322
1,https://www.flowcode.com/page/edrtgujytewssertgh,48,16,24,0,1,2,0,0,0,0,4,0,0,0,0,0,0,www.flowcode.com,com,2.952819531114783,5595,248,5844
1,https://mail-live.net-s03.net/nn/?code=680da411688bcc587abc92f3cd96ddb6,71,21,4,37,1,2,2,0,1,1,4,0,20,0,0,0,0,mail-live.net-s03.net,net,3.594465636961452,2048,142,2191
