phishing,url,url_len,host_len,path_len,query_len,is_https,count_dots,count_hyphen,count_at,count_qm,count_eq,count_slash,count_double_slash,count_digits,has_ip,has_shortener,has_keyword,subdomain_len,domain,suffix,domain_entropy_x,domain_age,days_to_expire,registration_length,num_subdomains,path_depth,has_www,has_double_https,has_port,has_fragment,url_ratio_digits,url_ratio_specials,contains_encoded_chars,has_repeat_chars,domain_entropy_y,domain_char_diversity,domain_has_digit,domain_starts_with_digit,tld_length,entropy_per_len
1,https://mybussa.co.za/wp-login.php,34,13,13,0,1,2,1,0,0,0,3,0,0,0,0,1,0,mybussa,co.za,3.238901256602631,2655,266,2922,0,1,0,0,0,0,0.0,0.2058823529411764,0,0,2.521640636343318,0.8571428571428571,0,0,5,0.3152050795429147
1,https://7sbgr.lat/w107y7re/8PSphv/8,35,9,18,0,1,1,0,0,0,0,5,0,7,0,0,0,0,7sbgr,lat,3.169925001442312,4,361,365,0,3,0,0,0,0,0.2,0.1714285714285714,0,0,2.321928094887362,1.0,1,1,3,0.3869880158145604
1,https://payment-92423.bubbleapps.io/version-test,48,27,13,0,1,2,2,0,0,0,3,0,5,0,0,0,13,bubbleapps,io,4.106377316818026,3577,1901,5479,1,1,0,0,0,0,0.1041666666666666,0.1458333333333333,0,0,2.646439344671016,0.7,0,0,2,0.2405853949700923
1,https://cinto.sbs/wp-contents/nvmc/email@example.com,52,9,35,0,1,1,1,1,0,0,5,0,0,0,0,0,0,cinto,sbs,2.94770277922009,52,312,365,0,3,0,0,0,0,0.0,0.173076923076923,0,0,2.321928094887362,1.0,0,0,3,0.3869880158145604
1,https://pekefan241.godaddysites.com/,36,27,1,0,1,2,0,0,0,0,3,0,3,0,0,0,10,godaddysites,com,4.106377316818026,4364,2575,6940,1,1,0,0,0,0,0.0833333333333333,0.1388888888888889,0,0,3.0220552088742005,0.75,0,0,3,0.2324657852980154
1,https://pay.ga-gahoje.store/P5LNZ8z6jQzgaRy,43,19,16,0,1,2,1,0,0,0,3,0,3,0,0,0,3,ga-gahoje,store,3.5766176449086657,6,358,365,1,1,0,0,0,0,0.0697674418604651,0.1395348837209302,0,0,2.725480556997868,0.7777777777777778,0,0,5,0.2725480556997868
1,https://kukinlogzn.gitbook.io/us/,33,21,4,0,1,2,0,0,0,0,4,0,0,0,0,0,10,gitbook,io,3.27280432733462,4233,1975,6209,1,2,0,0,0,0,0.0,0.1818181818181818,0,0,2.521640636343318,0.8571428571428571,0,0,2,0.3152050795429147
1,https://docs.google.com/presentation/d/e/2PACX-1vTxRP73gq_gBw7r-li7ywVADIOS5-gaP316OVdBLgIEe8XkQ5I6e3KDXcpQe4sFDYtNoEj51TXo1za3/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,190,15,108,58,1,2,3,0,1,4,7,0,23,0,0,0,4,google,com,2.9735572622751856,10273,1048,11322,1,5,0,0,0,0,0.1210526315789473,0.1,0,0,1.9182958340544896,0.6666666666666666,0,0,3,0.2740422620077842
1,https://notevoicevocal00.wixsite.com/notevoicevocal00,53,28,17,0,1,2,0,0,0,0,3,0,4,0,0,0,16,wixsite,com,3.726474118254376,4923,189,5113,1,1,0,0,0,0,0.0754716981132075,0.0943396226415094,0,0,2.521640636343318,0.8571428571428571,0,0,3,0.3152050795429147
1,https://igg54qtsmn5l0du.blob.core.windows.net/ltilbfb6qbk7snmpntjo3y8pkv22w3to/index.html,89,37,44,0,1,4,0,0,0,0,4,0,11,0,0,0,25,windows,net,4.195675662809303,11040,216,11256,3,2,0,0,0,0,0.1235955056179775,0.1011235955056179,0,0,2.521640636343318,0.8571428571428571,0,0,3,0.3152050795429147
1,http://graces.airbridge.io/,27,19,1,0,0,2,0,0,0,0,3,0,0,0,0,0,6,airbridge,io,3.326360407952694,3656,726,4383,1,1,0,0,0,0,0.0,0.1851851851851851,0,0,2.725480556997868,0.7777777777777778,0,0,2,0.2725480556997868
1,http://allegrolokalnie.pl-oferta-9174825.sbs/,45,37,1,0,0,2,2,0,0,0,3,0,7,0,0,0,15,pl-oferta-9174825,sbs,4.293931663441728,3,361,365,1,1,0,0,0,0,0.1555555555555555,0.1555555555555555,0,0,3.9698157824268097,0.9411764705882352,1,0,3,0.2205453212459338
1,https://0lx.zam0wlenle73737.top/bvzwneug/bqerpaweb/31ACC77FA,60,23,29,0,1,2,0,0,0,0,5,0,11,0,0,0,3,zam0wlenle73737,top,3.762267390651494,15,349,365,1,3,0,0,0,0,0.1833333333333333,0.1166666666666666,0,0,3.1898980954642875,0.6666666666666666,1,0,3,0.1993686309665179
1,https://pay.cliquecursos.site/YL9jZDWD7oO3p4q,45,21,16,0,1,2,0,0,0,0,3,0,4,0,0,0,3,cliquecursos,site,3.6897037321995474,11,354,365,1,1,0,0,0,0,0.0888888888888888,0.1111111111111111,0,0,3.084962500721156,0.75,0,0,4,0.2373048077477812
1,https://gotoslcgcpi.cyou/ETGate/#/,34,16,8,0,1,1,0,0,0,0,5,0,0,0,0,0,0,gotoslcgcpi,cyou,3.2806390622295662,158,206,365,0,2,0,0,0,1,0.0,0.1764705882352941,0,0,2.913977073182752,0.7272727272727273,0,0,4,0.2428314227652293
1,https://allegrolokalnie.oferty-kategoria-proponowane-dla-ciebie-rozne-21.sbs/oferta/kompresor-tokowy-adler-200l-sprawny-adccfe,126,68,50,0,1,2,11,0,0,0,4,0,5,0,0,0,15,oferty-kategoria-proponowane-dla-ciebie-rozne-21,sbs,4.1427741506984646,3,361,365,1,2,0,0,0,0,0.0396825396825396,0.1349206349206349,0,0,4.000814583693911,0.4375,1,0,3,0.081649277218243
1,https://aml-bestchange.sbs,26,18,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,aml-bestchange,sbs,3.5724312513221195,10,354,365,0,0,0,0,0,0,0.0,0.1538461538461538,0,0,3.521640636343318,0.8571428571428571,0,0,3,0.2347760424228878
1,http://smtptelstrawebmailtelstraswiftwebmailviewswifts.framer.website,69,62,0,0,0,2,0,0,0,0,2,0,0,0,0,0,47,framer,website,3.6027374403575068,1441,384,1826,1,0,0,0,0,0,0.0,0.0579710144927536,0,0,2.2516291673878226,0.8333333333333334,0,0,7,0.3216613096268318
