phishing,url,url_len,host_len,path_len,query_len,is_https,count_dots,count_hyphen,count_at,count_qm,count_eq,count_slash,count_double_slash,count_digits,has_ip,has_shortener,has_keyword,subdomain_len,domain,suffix,domain_entropy,domain_age,days_to_expire,registration_length
0,https://www.123people.ca/s/richard+bigras,41,16,17,0,1,2,0,0,0,0,4,0,3,0,0,0,3,123people,ca,3.327819531114783,1657,168,1826
0,https://www.123people.ca/s/paolo+violi,38,16,14,0,1,2,0,0,0,0,4,0,3,0,0,0,3,123people,ca,3.327819531114783,1657,168,1826
0,https://www.thecheapseats.ca/2010/02/alexandre-bilodeau-makes-history-wins-canadas-first-gold-medal-on-canadian-soil.html,121,20,93,0,1,2,11,0,0,0,5,0,6,0,0,0,3,thecheapseats,ca,3.1086949695628423,1874,316,2191
0,https://www.facebook.com/pages/Joe-Bravo/135834653115488,56,16,32,0,1,2,1,0,0,0,5,0,15,0,0,0,3,facebook,com,3.1556390622295662,10439,3075,13514
0,https://www.gawker.com/5135947/shira-lazar-kevin-roses-latest-fling,67,14,45,0,1,2,5,0,0,0,4,0,7,0,0,0,3,gawker,com,3.0930692077718898,8423,1803,10227
0,https://www.ca.local.yahoo.com/details?id=2006714101&stx=centre+pierre+charbonneau&csz=Montreal+QC&ed=2A9IUK160SwYN2I7a2IotXOFObqrPNVqVoqdoRJq111u.rz1P78Rgg1UnDc9TAcL_eHj,170,22,8,131,1,4,0,0,1,4,3,0,26,0,0,0,12,yahoo,com,2.992856050160461,11240,83,11324
0,https://www.flixster.com/actor/edith-labelle-photos,51,16,27,0,1,2,2,0,0,0,4,0,0,0,0,0,3,flixster,com,3.577819531114783,8161,604,8766
0,https://www.usgennet.org/usa/ct/county/fairfield/,49,16,25,0,1,2,0,0,0,0,7,0,0,0,0,0,3,usgennet,org,3.202819531114783,9969,63,10033
0,https://www.atlantic10.com/sports/m-baskbl/spec-rel/atl10-m-baskbl-spec-rel.html,80,18,54,0,1,2,6,0,0,0,6,0,4,0,0,0,3,atlantic10,com,3.4613201402110083,10662,293,10956
0,https://www.chowhound.chow.com/topics/532423,44,22,14,0,1,3,0,0,0,0,4,0,6,0,0,0,13,chow,com,2.9196905740496963,10958,363,11322
0,https://www.wn.com/Sony_Pictures_Entertainment,46,10,28,0,1,2,0,0,0,0,3,0,0,0,0,0,3,wn,com,2.321928094887362,11176,3069,14245
0,https://www.en.wikipedia.org/wiki/2010%E2%80%9311_Kansas_Jayhawks_men%27s_basketball_team,89,20,61,0,1,3,0,0,0,0,4,0,13,0,0,0,6,wikipedia,org,3.3464393446710154,9053,77,9131
0,https://www.hiphoprx.com/2011/11/11/george-tillman-jr-set-to-direct-miles-davis-film/,85,16,61,0,1,2,8,0,0,0,7,0,8,0,0,0,3,hiphoprx,com,3.202819531114783,7032,272,7305
0,https://www.claudedavoine.com/,30,21,1,0,1,2,0,0,0,0,3,0,0,0,0,0,3,claudedavoine,com,3.594465636961452,6168,40,6209
0,https://www.usidentify.com/l/gladu,34,18,8,0,1,2,0,0,0,0,4,0,0,0,0,0,3,usidentify,com,3.6835423624332306,5967,241,6209
0,https://www.adkreal.com/The_Bergman_Blog/page_2106992.html,58,15,35,0,1,2,0,0,0,0,4,0,7,0,0,0,3,adkreal,com,3.323231428797621,6776,163,6940
0,https://www.people.famouswhy.com/terri_clark/,45,24,13,0,1,3,0,0,0,0,4,0,0,0,0,0,10,famouswhy,com,3.6053885422075336,7159,145,7304
0,https://www.yourbittorrent.com/?q=anthony-hamilton-soulife,58,22,1,26,1,2,2,0,1,1,3,0,0,0,0,0,3,yourbittorrent,com,3.5039975273348483,7307,362,7670
0,https://www.apartmentguide.com/apartments/Georgia/Savannah/Kessler-Point/22415/,79,22,49,0,1,2,1,0,0,0,8,0,5,0,0,0,3,apartmentguide,com,3.788754913993503,9880,710,10591
0,https://www.technews.tmcnet.com/news/2011/06/20/5585450.htm,59,23,28,0,1,3,0,0,0,0,7,0,15,0,0,0,12,tmcnet,com,3.174885868724236,10929,27,10957
0,https://www.waterguy.us/NWSFreqs.html,37,15,14,0,1,2,0,0,0,0,3,0,0,0,0,0,3,waterguy,us,3.106890595608519,8297,103,8400
